train_losses,0.3280201423585804,0.29517161628743144,0.2790750730230783,0.2674179074940581,0.2607322353186738,0.2535315066882859,0.2436533450185953,0.2420411336117357,0.23157710384246336,0.22025169228965585,0.1927816128196398,0.1758247234417469,0.16277632259472358,0.14668224164622026,0.139376468949454,0.12360569939985806
train_accuracies,88.43810839665892,88.55743264460214,88.57627331533003,88.68303711612134,88.85260315267223,89.00332851849525,89.36130126232494,89.5371475224518,89.86999937197764,90.28449412799095,91.53425861960686,92.5139734974565,93.16083652578031,93.88306223701564,94.27243609872511,94.87533756201721
val_losses,0.2844281266043089,0.3751903167542289,0.2698888072229888,0.24219589410728998,0.26216971142664214,0.2334720712003395,0.23461666445319468,0.22818645818066274,0.22929518732212786,0.23953501627321158,0.22199452221730714,0.22940767421576772,0.24138120598922488,0.24787234757685553,0.2476364599363836,0.25752286292713694
val_accuracies,88.12217194570135,87.33031674208145,88.68778280542986,89.47963800904978,88.34841628959276,89.93212669683258,89.93212669683258,90.49773755656109,90.66742081447964,89.93212669683258,89.81900452488688,89.87556561085972,89.87556561085972,89.19683257918552,89.70588235294117,89.30995475113122
learning_rate,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
execution time,83.12569618225098,82.2058653831482,81.94959211349487,82.01207756996155,81.96521210670471,81.9183497428894,81.99645566940308,81.96521401405334,81.85586380958557,81.80900001525879,82.02769923210144,82.32450437545776,81.80900025367737,81.85586452484131,82.1682915687561,82.02769875526428
True Positives,24,4,0,31,20,36,45,80,61,43,74,59,54,60,65,64
True Negatives,1534,1540,1568,1551,1542,1554,1545,1520,1542,1547,1514,1530,1535,1517,1521,1515
False Positives,34,28,0,17,26,14,23,48,26,21,54,38,33,51,47,53
False Negatives,176,196,200,169,180,164,155,120,139,157,126,141,146,140,135,136
