train_losses,0.3134305429523731,0.2819040370370682,0.2739876639724736,0.26835186734219285,0.2619030808441487,0.25644493742744445,0.24972817918078974,0.2476094405366541,0.2440533093015403,0.23876733246616297,0.2261547889674596,0.2208236095325723,0.21735238577442695,0.21524731893446025,0.21221436781500944,0.2114036031748439,0.2089521728422341,0.2095084522295573,0.20431217505764507,0.20342827260134988
train_accuracies,88.39414683162721,88.52603152672235,88.58255353890598,88.83376248194436,88.90912516485587,88.97192740061546,89.24825723795767,89.38014193305281,89.44922439238837,89.53086729887583,89.88255981912955,90.08980719713622,90.30333479871884,90.66130754254851,90.62362620109276,90.6487470953966,90.57966463606104,90.74295044903599,90.86855492055517,90.98159894492244
val_losses,0.2808971910387682,0.26832541877328003,0.25438900200894515,0.2422780781748338,0.23589184878571,0.2332831624035652,0.24559348990205188,0.24418535039705389,0.23994725315549256,0.2231281795349326,0.22125652093625717,0.22383971519060264,0.2163321652630875,0.22128965786544447,0.21555113458660394,0.21724787566861417,0.2192228864288438,0.216236577280776,0.21672902819258055,0.2192911999257981
val_accuracies,88.68778280542986,88.91402714932127,89.59276018099547,88.97058823529412,90.04524886877829,89.81900452488688,90.21493212669684,89.42307692307692,89.70588235294117,89.87556561085972,90.15837104072398,90.38461538461539,90.44117647058823,90.72398190045249,90.55429864253394,90.78054298642535,90.15837104072398,90.32805429864253,90.38461538461539,90.38461538461539
learning_rate,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
execution time,197.36010932922363,197.12579107284546,197.11016821861267,196.86022663116455,197.67253756523132,196.7821204662323,197.2351393699646,196.82898354530334,196.4540729522705,196.46969389915466,196.48531532287598,196.8758466243744,196.68839311599731,197.34449076652527,196.3759651184082,196.70401239395142,197.1414134502411,196.84460592269897,196.71963334083557,196.40720772743225
True Positives,0,18,42,19,42,72,58,30,77,43,54,59,73,80,67,78,54,68,74,75
True Negatives,1568,1554,1542,1554,1550,1516,1537,1551,1509,1546,1540,1539,1526,1524,1534,1527,1540,1529,1524,1523
False Positives,0,14,26,14,18,52,31,17,59,22,28,29,42,44,34,41,28,39,44,45
False Negatives,200,182,158,181,158,128,142,170,123,157,146,141,127,120,133,122,146,132,126,125
