train_losses,0.8134170458044695,0.47656872091086017,0.4266747399840666,0.4552679372870404,0.4201531115433444,0.41660206084666046,0.4629707138823426,0.4236404534591281,0.4262859089219052,0.4048365597491679,0.4046252965927124,0.38906976515832153,0.3738237548133601,0.3879338101200435,0.36600458945917047,0.3625391663416572,0.3514993611885154,0.3397264512984649
train_accuracies,77.29138166894664,80.30095759233926,82.07934336525308,82.21614227086184,82.76333789329685,81.53214774281805,80.71135430916553,81.3953488372093,83.03693570451436,82.76333789329685,82.6265389876881,82.48974008207934,83.03693570451436,83.03693570451436,85.08891928864568,83.72093023255815,83.58413132694939,84.67852257181943
val_losses,0.5123952984809875,0.41182597279548644,0.408654248714447,0.3978136658668518,0.399291330575943,0.381322568655014,0.42300982475280763,0.3813927471637726,0.3935557782649994,0.5017380774021148,0.3546105742454529,0.3594635188579559,0.3471757471561432,0.3607696175575256,0.3548483192920685,0.35406056642532346,0.3632775068283081,0.34909303188323976
val_accuracies,82.5,82.5,86.25,83.75,85.0,86.25,83.75,85.0,83.75,83.75,86.25,87.5,85.0,85.0,83.75,85.0,83.75,86.25
learning_rate,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
execution time,6.5188117027282715,5.672436714172363,5.671101093292236,5.672388553619385,5.689155340194702,5.655346632003784,5.702361822128296,5.626460790634155,5.653639554977417,5.671706438064575,5.671125411987305,5.6771063804626465,5.696262359619141,5.6725218296051025,5.687539100646973,5.640386581420898,5.701735258102417,5.67529559135437
True Positives,0,0,3,1,5,3,2,4,4,1,5,6,4,3,3,3,4,6
True Negatives,66,66,66,66,63,66,65,64,63,66,64,64,64,65,64,65,63,63
False Positives,0,0,0,0,3,0,1,2,3,0,2,2,2,1,2,1,3,3
False Negatives,14,14,11,13,9,11,12,10,10,13,9,8,10,11,11,11,10,8
